材料编号,材料名称,规格型号,人群,风格,单价,数量单位,备注,点位类型
QB1-SY,墙板,QB1-SY T-冰雪白 600x3000x10,通用,素雅,80,平米,标准宽度600mm；高度根据实际空间裁剪；按标准板从左到右排布，非标留在最后一块，排布后要能弱眼看出图片花色和墙板分割线
QB1-QS,墙板,QB1-QS T-威尔斯白 600x3000x10,通用,轻法,80,平米,标准宽度600mm；高度根据实际空间裁剪；按标准板从左到右排布，非标留在最后一块，排布后要能弱眼看出图片花色和墙板分割线
QB1-ZG,墙板,QB1-ZG T-索菲亚灰 600x3000x10,通用,中古,80,平米,标准宽度600mm；高度根据实际空间裁剪；按标准板从左到右排布，非标留在最后一块，排布后要能弱眼看出图片花色和墙板分割线
QB2-SY,墙板,QB2-SY T-金丝白玉 600x3000x10,通用,素雅,142,平米,标准宽度600mm；高度根据实际空间裁剪；按标准板从左到右排布，非标留在最后一块，排布后要能弱眼看出图片花色和墙板分割线
QB2-QS,墙板,QB2-QS T-罗马白洞 600x3000x10,通用,轻法,142,平米,标准宽度600mm；高度根据实际空间裁剪；按标准板从左到右排布，非标留在最后一块，排布后要能弱眼看出图片花色和墙板分割线
QB2-ZG,墙板,QB2-ZG T-帕斯高灰 600x3000x10,通用,中古,142,平米,标准宽度600mm；高度根据实际空间裁剪；按标准板从左到右排布，非标留在最后一块，排布后要能弱眼看出图片花色和墙板分割线
QB3-SY,墙板,QB3-SY T-微泥如烟 600x3000x10,通用,素雅,188,平米,标准宽度600mm；高度根据实际空间裁剪；按标准板从左到右排布，非标留在最后一块，排布后要能弱眼看出图片花色和墙板分割线
QB3-QS,墙板,QB3-QS T-罗曼蒂克 600x3000x10,通用,轻法,188,平米,标准宽度600mm；高度根据实际空间裁剪；按标准板从左到右排布，非标留在最后一块，排布后要能弱眼看出图片花色和墙板分割线
QB3-ZG,墙板,QB3-ZG 冰岛灰 600x3000x10,通用,中古,188,平米,标准宽度600mm；高度根据实际空间裁剪；按标准板从左到右排布，非标留在最后一块，排布后要能弱眼看出图片花色和墙板分割线
DB1-SY,地砖,DB1-SY T-埃及米白 3000x1200x10,通用,素雅,340,平米,从里往外排布；标准宽度1200；长度根据房间宽度裁切；样例数据房间宽度不会超过3米
DB1-QS,地砖,DB1-QS T-金丝白玉 3000x1200x10,通用,轻法,340,平米,从里往外排布；标准宽度1200；长度根据房间宽度裁切；样例数据房间宽度不会超过3米
DB1-ZG,地砖,DB1-ZG T-灰橡木 3000x1200x10,通用,中古,340,平米,从里往外排布；标准宽度1200；长度根据房间宽度裁切；样例数据房间宽度不会超过3米
DB2-SY,地砖,DB2-SY T-威尔斯白 3000x1200x10,通用,素雅,480,平米,从里往外排布；标准宽度1200；长度根据房间宽度裁切；样例数据房间宽度不会超过3米
DB2-QS,地砖,DB2-QS T-微泥如烟 3000x1200x10,通用,轻法,480,平米,从里往外排布；标准宽度1200；长度根据房间宽度裁切；样例数据房间宽度不会超过3米
DB2-ZG,地砖,DB2-ZG T-北极灰 3000x1200x10,通用,中古,480,平米,从里往外排布；标准宽度1200；长度根据房间宽度裁切；样例数据房间宽度不会超过3米
DB3-SY,地砖,DB3-SY T-波希米亚 3000x1200x10,通用,素雅,560,平米,从里往外排布；标准宽度1200；长度根据房间宽度裁切；样例数据房间宽度不会超过3米
DB3-QS,地砖,DB3-QS T-雪花白 3000x1200x10,通用,轻法,560,平米,从里往外排布；标准宽度1200；长度根据房间宽度裁切；样例数据房间宽度不会超过3米
DB3-ZG,地砖,DB3-ZG T-帕斯高灰 3000x1200x10,通用,中古,560,平米,从里往外排布；标准宽度1200；长度根据房间宽度裁切；样例数据房间宽度不会超过3米
DD1,吊顶,DD1 名族 600x300x0.4 白色,通用,通用,45,平米,
DD2,吊顶,DD2 法狮 600x300x0.6 白色,通用,通用,65,平米,
MT1,马桶,MT1 陶瓷白,通用,通用,550,套,
MT2,马桶,MT2 轻智能马桶（加热、感应冲水）,通用,通用,800,套,
MT3,马桶,MT3 智能马桶（加热、感应冲水、臀洗、杀菌）,通用,通用,1200,套,
HS1-1,花洒,HS1-1 枪灰色,通用,中古,700,套,
HS1-2,花洒,HS1-2 银白色,通用,素雅、轻法,700,套,
HS2-1,花洒,HS2-1 枪灰色 恒温,通用,中古,1000,套,
HS2-2,花洒,HS2-2 银白色 恒温,通用,素雅、轻法,1000,套,
RSQ1-1,热水器,RSQ1-1 60L 二级能效 搪瓷内胆 米白色,通用,素雅、轻法,1500,台,
RSQ1-2,热水器,RSQ1-2 60L 二级能效 搪瓷内胆 玫瑰金,通用,中古,1500,台,
RSQ2-1,热水器,RSQ2-1 60L 一级能效 钛金内胆 米白色,通用,素雅、轻法,2800,台,
RSQ2-2,热水器,RSQ2-2 60L 一级能效 钛金内胆 玫瑰金,通用,中古,2800,台,
XYJ1-1,洗衣机,XYJ1-1 涡轮洗衣机 10L 白色,通用,素雅、轻法,1500,台,
XYJ2-1,洗衣机,XYJ2-1 滚筒洗衣机 8L 超静音 银灰色,通用,中古,2300,台,
YSG1-1,浴室柜,YSG1-1 三聚氰胺板 米白色,通用,素雅、轻法,1200,套,
YSG1-2,浴室柜,YSG1-2 三聚氰胺板 深砂灰,通用,中古,1200,套,
YSG2-1,浴室柜,YSG2-1 实木 银灰色,通用,素雅、轻法,2500,套,
YSG2-2,浴室柜,YSG2-2 实木 深砂灰,通用,中古,2500,套,
YSG3-1,适老浴室柜,YSG3-1 实木 适老 米白色,通用,素雅、轻法,2800,套,
