分类	相对路径	文件名	格式	长 X (mm)	宽 Z (mm)	高 Y (mm)	换算系数	状态	说明
地漏	地漏\地漏01.fbx	地漏01.fbx	FBX	100	100	44.3	1	OK	
地漏	地漏\地漏01.skp	地漏01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
地漏	地漏\地漏02.fbx	地漏02.fbx	FBX	135.2	55.3	135.2	1	OK	
地漏	地漏\地漏02.skp	地漏02.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
地漏	地漏\地漏03.skp	地漏03.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
地漏	地漏\条形地漏.skp	条形地漏.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
电气面板	电气面板\开关面板\单开.skp	单开.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
电气面板	电气面板\开关面板\防溅盒.fbx	防溅盒.fbx	FBX	106.7	40.4	123.4	1	OK	
电气面板	电气面板\开关面板\防溅盒.skp	防溅盒.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
电气面板	电气面板\插座面板\三孔16A插座.fbx	三孔16A插座.fbx	FBX	56.3	3.8	56.3	1	OK	
电气面板	电气面板\插座面板\三孔16A插座.skp	三孔16A插座.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
电气面板	电气面板\开关面板\双开.skp	双开.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
电气面板	电气面板\开关面板\双开面板.fbx	双开面板.fbx	FBX	55.8	6.5	55.9	1	OK	
电气面板	电气面板\夜灯面板.fbx	夜灯面板.fbx	FBX	86	31.4	86	1	OK	
电气面板	电气面板\夜灯面板.skp	夜灯面板.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
电气面板	电气面板\开关面板\浴霸面板.fbx	浴霸面板.fbx	FBX	47.4	4	47.3	1	OK	
电气面板	电气面板\开关面板\浴霸面板.skp	浴霸面板.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
电气面板	电气面板\插座面板\正五孔插座.fbx	正五孔插座.fbx	FBX	56.3	4.5	56.3	1	OK	
电气面板	电气面板\插座面板\正五孔插座.skp	正五孔插座.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
